Back,"Table 2. Human Development Index trends, 1990-2019",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human Development Index (HDI) ,,,,,,,,,,,,,,,,Change in HDI rank ,,Average annual HDI growth,,,,,,
,Very high human development,0.782,,0.826,,0.87,,0.885,,0.889,,0.894,,0.896,,0.898,,—,,0.55,,0.52,,0.35,,0.48
,High human development,0.567,,0.629,,0.705,,0.73,,0.735,,0.744,,0.748,,0.753,,—,,1.04,,1.15,,0.73,,0.98
,Medium human development,0.433,,0.492,,0.571,,0.601,,0.609,,0.624,,0.627,,0.631,,—,,1.29,,1.5,,1.12,,1.31
,Low human development,0.345,,0.381,,0.468,,0.497,,0.5,,0.507,,0.509,,0.513,,—,,1,,2.08,,1.03,,1.38
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developing countries,0.517,,0.571,,0.642,,0.668,,0.673,,0.683,,0.685,,0.689,,—,,1,,1.18,,0.79,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,,,,,,,,
,Arab States,0.556,,0.614,,0.676,,0.687,,0.691,,0.699,,0.702,,0.705,,—,,1,,0.97,,0.47,,0.82
,East Asia and the Pacific,0.517,,0.595,,0.688,,0.718,,0.724,,0.735,,0.74,,0.747,,—,,1.42,,1.46,,0.92,,1.28
,Europe and Central Asia,0.662,,0.675,,0.739,,0.772,,0.775,,0.785,,0.787,,0.791,,—,,0.19,,0.91,,0.76,,0.62
,Latin America and the Caribbean,0.632,,0.69,,0.736,,0.756,,0.759,,0.762,,0.764,,0.766,,—,,0.88,,0.65,,0.44,,0.67
,South Asia,0.437,,0.501,,0.58,,0.612,,0.62,,0.635,,0.637,,0.641,,—,,1.38,,1.47,,1.12,,1.33
,Sub-Saharan Africa,0.404,,0.426,,0.501,,0.53,,0.535,,0.542,,0.544,,0.547,,—,,0.53,,1.63,,0.98,,1.05
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Least developed countries,0.353,,0.403,,0.489,,0.513,,0.52,,0.531,,0.534,,0.538,,—,,1.33,,1.95,,1.07,,1.46
,Small island developing states,0.599,,0.646,,0.706,,0.715,,0.72,,0.724,,0.726,,0.728,,—,,0.76,,0.89,,0.34,,0.67
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,0.786,,0.835,,0.874,,0.888,,0.891,,0.896,,0.898,,0.9,,—,,0.61,,0.46,,0.33,,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,0.601,,0.644,,0.699,,0.72,,0.724,,0.732,,0.734,,0.737,,—,,0.69,,0.82,,0.59,,0.71
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,
,"For HDI values that are comparable across years and countries, use this table or the interpolated data at http://hdr.undp.org/en/data, which present trends using consistent data.",,,,,,,,,,,,,,,,,,,,,,,,,
,a. A positive value indicates an improvement in rank.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,,,,,,,,,,,,,
,"Human Development Index (HDI): A composite index measuring average achievement in three basic dimensions of human development—a long and healthy life, knowledge and a decent standard of living. See Technical note 1 at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf for details on how the HDI is calculated.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Average annual HDI growth: A smoothed annualized growth of the HDI in a given period, calculated as the annual compound growth rate.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main data sources,,,,,,,,,,,,,,,,,,,,,,,,,
,"Columns 1-8: HDRO calculations based on data from UNDESA (2019a), UNESCO Institute for Statistics (2020), United Nations Statistics Division (2020b), World Bank (2020a), Barro and Lee (2018) and IMF (2020).",,,,,,,,,,,,,,,,,,,,,,,,,
,Column 9: Calculated based on data in columns 4 and 8.,,,,,,,,,,,,,,,,,,,,,,,,,
,"Columns 10-13: Calculated based on data in columns 1, 2, 3 and 8.",,,,,,,,,,,,,,,,,,,,,,,,,
